"","condition","size_class","mobilized_count","mobilized_volume","immobile_count","immobile_volume","total_count","total_volume","perc_count_mobilized","perc_volume_mobilized"
"1",1,"<125 µm",377008,87727197769.4026,37196,8790387497.36528,414204,96517585266.7679,91.0198839219322,90.8924498338109
"2",1,"125–250 µm",334806,529215511421.284,37737,57676996803.4136,372543,586892508224.697,89.8704310643335,90.1724769024771
"3",1,"250–500 µm",139634,1163864545022.04,12717,94796531547.1097,152351,1258661076569.15,91.6528280090055,92.4684624549203
"4",1,"500–1000 µm",59444,1878314597574.01,6574,390537029550.492,66018,2268851627124.5,90.04210972765,82.7870176753052
"5",1,">1000 µm",2496,305634469913.162,437,125242822996.912,2933,430877292910.074,85.1005796113195,70.9330649217919
"6",2,"<125 µm",351012,82591837613.618,43856,9963524369.27757,394868,92555361982.8956,88.8935036518533,89.2350652022528
"7",2,"125–250 µm",361689,573940826594.072,38247,55926784335.1704,399936,629867610929.243,90.43671987518,91.1208667718822
"8",2,"250–500 µm",147773,1209963930953.1,12638,95620964309.0545,160411,1305584895262.15,92.1214879278853,92.676005623529
"9",2,"500–1000 µm",60524,1822447231002.1,6067,325324916686.19,66591,2147772147688.29,90.8891591956871,84.8529129574407
"10",2,">1000 µm",2464,291640966919.228,367,90096314897.909,2831,381737281817.137,87.0363829035676,76.3983453570386
"11",3,"<125 µm",279845,65002469158.571,33650,7972546536.13083,313495,72975015694.7018,89.266176494043,89.07496427341
"12",3,"125–250 µm",244682,389359449737.285,32140,45267090326.1979,276822,434626540063.483,88.3896511115446,89.5848306181242
"13",3,"250–500 µm",113991,1054122835238.76,7697,49438076643.4288,121688,1103560911882.19,93.6748077049504,95.5201315929984
"14",3,"500–1000 µm",80026,2857349664384.16,3174,195022350936.787,83200,3052372015320.95,96.1850961538461,93.6107935088548
"15",3,">1000 µm",5863,837115921271.713,258,62407037226.169,6121,899522958497.882,95.78500245058,93.0622074026456
"16",4,"<125 µm",362743,82961282089.9501,65771,16256448766.7136,428514,99217730856.6638,84.6513766178001,83.6153794020963
"17",4,"125–250 µm",313973,486421807259.393,95134,162068125996.208,409107,648489933255.6,76.7459368820382,75.0083821374712
"18",4,"250–500 µm",121248,965143698218.745,60955,561186427626.47,182203,1526330125845.21,66.5455563300275,63.2329587076905
"19",4,"500–1000 µm",45909,1329402766458.01,39392,1320496186452.41,85301,2649898952910.42,53.8200021101746,50.1680550874556
"20",4,">1000 µm",1399,141117892561.104,2322,332369441093.549,3721,473487333654.653,37.5974200483741,29.8039424775892
"21",5,"<125 µm",404497,88355198366.8208,94997,21610614207.485,499494,109965812574.306,80.9813531293669,80.3478793075963
"22",5,"125–250 µm",306195,452361929948.314,114445,194094473262.791,420640,646456403211.105,72.7926492963104,69.9756283179072
"23",5,"250–500 µm",115153,903987015479.69,72566,672318824843.188,187719,1576305840322.88,61.3432843771808,57.3484530955316
"24",5,"500–1000 µm",46244,1317334005768.79,48587,1572896818727.19,94831,2890230824495.99,48.764644472799,45.5788511631598
"25",5,">1000 µm",1842,162752073837.391,3222,432814814797.506,5064,595566888634.897,36.3744075829384,27.327253570197
"26",6,"<125 µm",347998,78601469666.9197,73899,17629463930.6874,421897,96230933597.6071,82.4841134210483,81.6800447926593
"27",6,"125–250 µm",283072,435998946013.531,94565,160995657914.648,377637,596994603928.179,74.9587566896252,73.032309361708
"28",6,"250–500 µm",106092,828309223014.199,61439,579887951230.562,167531,1408197174244.76,63.3267872811599,58.8205429014893
"29",6,"500–1000 µm",37789,1127883945882.57,40168,1351082161095.69,77957,2478966106978.26,48.4741588311505,45.4981592006277
"30",6,">1000 µm",1388,150431809103.763,2504,373502098524.005,3892,523933907627.768,35.6628982528263,28.7119819720922
"31",7,"<125 µm",269013,61400426325.7491,52717,12161118397.8477,321730,73561544723.5969,83.6145214931775,83.468103553912
"32",7,"125–250 µm",255371,420562230654.167,49957,77578074375.2196,305328,498140305029.387,83.6382513231672,84.4264610608766
"33",7,"250–500 µm",136409,1269325720716.42,20026,164360923948.658,156435,1433686644665.07,87.1985169559242,88.5357846806856
"34",7,"500–1000 µm",84935,2791075959159.91,8799,333877488926.701,93734,3124953448086.61,90.6127979175113,89.3157611953825
"35",7,">1000 µm",4386,535511512989.18,507,107775570699.888,4893,643287083689.068,89.6382587369712,83.2461161691875
"36",8,"<125 µm",312548,72271841489.3836,53241,12690924744.7864,365789,84962766234.17,85.4448876264732,85.062957213742
"37",8,"125–250 µm",276496,445906053382.863,50921,77664646913.7517,327417,523570700296.614,84.4476615447579,85.1663496697288
"38",8,"250–500 µm",141760,1307185039316.32,20454,159546944650.242,162214,1466731983966.56,87.3907307630661,89.1222836622973
"39",8,"500–1000 µm",78295,2483730981664.1,7654,272180376850.475,85949,2755911358514.58,91.0947189612445,90.1237615640447
"40",8,">1000 µm",3428,373811159728.442,370,83227788495.531,3798,457038948223.973,90.2580305423907,81.7897820702263
"41",9,"<125 µm",259865,61457057164.1031,29624,7028121411.3385,289489,68485178575.4416,89.7667959749766,89.7377482872495
"42",9,"125–250 µm",295224,489552796580.328,24392,33071042571.0206,319616,522623839151.349,92.3683420104125,93.6721136516233
"43",9,"250–500 µm",159292,1478732151361.99,5898,40393677633.315,165190,1519125828995.3,96.4295659543556,97.3409919795762
"44",9,"500–1000 µm",95151,2983936068726.6,2182,136993550858.444,97333,3120929619585.05,97.7582115007243,95.6104889389765
"45",9,">1000 µm",4090,430024838832.287,199,92495294389.974,4289,522520133222.261,95.3602238283982,82.2982334059404
"46",10,"<125 µm",198996,46504393540.6992,18028,4066273688.59134,217024,50570667229.2906,91.6930846358006,91.959224761353
"47",10,"125–250 µm",194140,327285031191.71,12658,16231962387.6909,206798,343516993579.4,93.8790510546524,95.2747716441751
"48",10,"250–500 µm",118598,1155157036504.2,2002,9448877524.936,120600,1164605914029.14,98.3399668325041,99.1886630995848
"49",10,"500–1000 µm",85441,2811078834039.76,225,9642076460.622,85666,2820720910500.38,99.7373520416501,99.6581697811815
"50",10,">1000 µm",4768,648837081656.04,42,53877707041.024,4810,702714788697.065,99.1268191268191,92.3329197125734
"51",11,"<125 µm",215298,51335400747.2519,31140,7328329437.81877,246438,58663730185.0707,87.3639617266818,87.5079040921886
"52",11,"125–250 µm",223329,374336423244.161,25594,34522316838.1978,248923,408858740082.359,89.7181055989201,91.5564195029208
"53",11,"250–500 µm",128194,1213338247852.2,5262,31875369726.212,133456,1245213617578.42,96.0571274427527,97.4401685561229
"54",11,"500–1000 µm",75775,2397843289564.93,1000,35910961418.58,76775,2433754250983.51,98.6974926733963,98.5244623032885
"55",11,">1000 µm",3399,404347352165.357,57,17605928386.142,3456,421953280551.499,98.3506944444444,95.8275171215328
"56",12,"<125 µm",213060,52191634784.7374,30205,7952085886.21316,243265,60143720670.9505,87.5834994758802,86.7781943027445
"57",12,"125–250 µm",252041,429315712143.594,28188,36054542147.2145,280229,465370254290.809,89.9410838992395,92.252503933205
"58",12,"250–500 µm",140176,1290365901863.92,4978,27883513257.347,145154,1318249415121.27,96.5705388759524,97.8848074622675
"59",12,"500–1000 µm",71920,2224763855051.54,723,26711364003.757,72643,2251475219055.3,99.0047217212946,98.8136061290977
"60",12,">1000 µm",2910,350771640771.408,53,18127599269.506,2963,368899240040.914,98.2112723590955,95.0860296520276
"61",13,"<125 µm",312361,73201191333.3387,29710,7406722471.51573,342071,80607913804.8544,91.3146685921928,90.8114202168204
"62",13,"125–250 µm",353369,596881655186.675,24309,32307036520.2556,377678,629188691706.931,93.5635647297433,94.8652865275424
"63",13,"250–500 µm",183283,1606529163408.01,4792,28812296261.795,188075,1635341459669.81,97.4520802871195,98.2381479970787
"64",13,"500–1000 µm",73270,2107927970271.48,925,47068915335.172,74195,2154996885606.65,98.7532852618101,97.8158244380979
"65",13,">1000 µm",1959,195465767224.082,142,57251715335.002,2101,252717482559.084,93.2413136601618,77.3455659833043
"66",14,"<125 µm",265686,62717494516.6649,47255,10768788234.6243,312941,73486282751.2892,84.8997095299114,85.3458525435682
"67",14,"125–250 µm",284866,475212766485.712,30068,39204944502.7151,314934,514417710988.428,90.452602767564,92.3787724129123
"68",14,"250–500 µm",155586,1438009742048.99,6091,37391956276.5329,161677,1475401698325.52,96.2326119361443,97.4656423183618
"69",14,"500–1000 µm",83811,2559932198323.88,1256,61396625411.3641,85067,2621328823735.25,98.5235167573795,97.65780527588
"70",14,">1000 µm",3079,340521352589.024,161,126130839442.505,3240,466652192031.529,95.0308641975309,72.9711246199433
"71",15,"<125 µm",246990,57993120496.674,32864,7720353040.46488,279854,65713473537.1389,88.2567338683742,88.2514914751819
"72",15,"125–250 µm",273869,456551775253.302,25005,32918122059.2997,298874,489469897312.601,91.633598104887,93.274740236318
"73",15,"250–500 µm",152516,1427316998656.2,4636,26555992042.698,157152,1453872990698.9,97.0499898187742,98.1734310897452
"74",15,"500–1000 µm",99207,3240961608437.45,814,36897312002.342,100021,3277858920439.8,99.1861709041101,98.874347160817
"75",15,">1000 µm",5502,657402924017.354,92,39420957823.666,5594,696823881841.02,98.3553807651055,94.3427659626827
"76",16,"<125 µm",363591,83474327929.4159,49221,11856163491.1126,412812,95330491420.5285,88.0766547484085,87.5630941218881
"77",16,"125–250 µm",353400,560854095392.976,44456,65108520600.7711,397856,625962615993.747,88.8261079385506,89.5986567029393
"78",16,"250–500 µm",157420,1339210904473,13951,101561374470.662,171371,1440772278943.67,91.8591827088597,92.950907235311
"79",16,"500–1000 µm",65200,1885813041770.41,4027,142891085090.281,69227,2028704126860.69,94.1829055137446,92.956534016057
"80",16,">1000 µm",2103,203020188835.743,185,53335265134.988,2288,256355453970.731,91.9143356643357,79.1947999120481
"81",17,"<125 µm",359945,81116496645.0583,63082,14354866746.7288,423027,95471363391.787,85.0879494689464,84.9642172932835
"82",17,"125–250 µm",308257,478556746141.881,51383,76365720962.8938,359640,554922467104.774,85.712657101546,86.2384881691094
"83",17,"250–500 µm",138341,1195970664530,17451,132045079711.034,155792,1328015744241.04,88.798526240115,90.0569642879876
"84",17,"500–1000 µm",66063,1968584118252.92,5695,197861193322.44,71758,2166445311575.36,92.0636026645113,90.8670118619998
"85",17,">1000 µm",2688,289181094569.954,319,82046224171.809,3007,371227318741.763,89.3914200199534,77.8986566910279
"86",18,"<125 µm",292370,69590368318.5469,44886,10258992728.6243,337256,79849361047.1712,86.6908224019736,87.1520665988
"87",18,"125–250 µm",302179,483458995389.309,40471,59816575263.0701,342650,543275570652.379,88.1888224135415,88.9896438392691
"88",18,"250–500 µm",135341,1159825811605.14,13421,101307132272.335,148762,1261132943877.48,90.9782068001237,91.9669743967788
"89",18,"500–1000 µm",59653,1819543154155.62,4491,173764541280.924,64144,1993307695436.55,92.998565727114,91.2826031987566
"90",18,">1000 µm",2268,252645102616.308,287,87524226464.648,2555,340169329080.956,88.7671232876712,74.2703944823261
