"","surface","slope","rainfall","n_runs","Q50_mean_min","Q50_sd_min"
"1","concrete",5,"high",4,2.74959830329635,0.0315406399417209
"2","concrete",5,"low",4,6.03914325950213,0.279084386636666
"3","concrete",5,"med",4,3.28347626558094,0.0831537116417233
"4","concrete",10,"high",4,2.88589642401963,0.0821945820390168
"5","concrete",10,"low",4,7.49565603540582,0.209916167333097
"6","concrete",10,"med",4,4.32814960905094,0.41119884155201
"7","concrete",15,"high",4,2.97233328962783,0.0629690858649837
"8","concrete",15,"low",4,7.85127633282562,0.36304142833147
"9","concrete",15,"med",4,4.59288975027913,0.157223614940432
"10","sand",5,"high",4,2.9435555461827,0.0483038205373907
"11","sand",5,"low",4,7.96280871615559,0.225397360450388
"12","sand",5,"med",4,3.5979324758285,0.166769342636062
"13","sand",10,"high",4,3.14696825969185,0.124403955611198
"14","sand",10,"low",4,10.814496618077,0.89008039534222
"15","sand",10,"med",4,5.9960642793224,0.445771063183558
"16","sand",15,"high",4,3.52214558118722,0.195301517719714
"17","sand",15,"low",4,10.6849579175145,0.392075383651901
"18","sand",15,"med",4,7.09659825203143,0.724334792970775
