"condition","surface","c_star","c_mm","k_prime","f_k","rss","n_points","rse","max_frac","i_mean","sd_frac","slope","rainfall"
1,"sand",4.8,4.8,0.148932904821945,0.714877943145335,0.0228188434150648,6,0.0675556709907685,0.76662,1.08202463628,0.0496775516036502,"15","med"
2,"sand",4.8,4.8,0.142582043029523,0.684393806541709,0.00384579409643305,6,0.0277337126848644,0.693495,1.03221961937626,0.0372678060350575,"10","med"
3,"sand",4.8,4.8,0.173252911284592,0.831613974166043,0.00816608138590178,6,0.0404130706230095,0.809789,1.0211318046788,0.0241085814044156,"5","med"
4,"sand",4.8,4.8,0.132769477031978,0.637293489753493,0.00694620095929001,6,0.0372725125509135,0.5678475,0.602020720752048,0.0165193126874778,"5","low"
5,"sand",4.8,4.8,0.11333847265056,0.544024668722689,0.0131507405471792,6,0.0512849696249869,0.5013575,0.596653596186961,0.0166803384757824,"10","low"
6,"sand",4.8,4.8,0.115863300793844,0.556143843810449,0.0157778544335131,6,0.0561744682814411,0.5219725,0.615997936125376,0.0120031700673891,"15","low"
7,"sand",4.8,4.8,0.16378918331345,0.786188079904562,0.00115755745323779,6,0.0152155016561255,0.8015625,1.48955952385299,0.0138116095489749,"15","high"
8,"sand",4.8,4.8,0.170869603552833,0.820174097053597,0.00557691999518658,6,0.0333973651511211,0.81746,1.45903505047883,0.0206124444612148,"10","high"
9,"sand",4.8,4.8,0.186796834657544,0.896624806356209,0.00985653289495498,6,0.0443993984079852,0.8930565,1.47723949592653,0.0180317197090757,"5","high"
10,"concrete",3.8,3.8,0.21251308083156,0.807549707159929,0.00820092311365887,6,0.040499192865189,0.7910575,1.47089898677233,0.01156413240729,"5","high"
11,"concrete",3.8,3.8,0.200674315978455,0.762562400718129,0.0047235550863191,6,0.0307361516339281,0.7525425,1.48335468100805,0.0328296272443048,"10","high"
12,"concrete",3.8,3.8,0.205879093367528,0.782340554796605,0.00231903164080782,6,0.0215361632646478,0.777935,1.47903427071861,0.00649265482423533,"15","high"
13,"concrete",3.8,3.8,0.214106309015812,0.813603974260085,0.0110575515091474,6,0.04702669775595,0.84808,1.06681159179277,0.0050764226249069,"15","med"
14,"concrete",3.8,3.8,0.215564740233158,0.819146012886,0.00515285407184413,6,0.0321025047989845,0.8443,1.04753974254323,0.0100060315143751,"10","med"
15,"concrete",3.8,3.8,0.236564481824818,0.898945030934307,0.00297828524198292,6,0.0244060862982286,0.8884425,1.02310490290436,0.00577267341301526,"5","med"
16,"concrete",3.8,3.8,0.20560968772274,0.781316813346411,0.00541477056123266,6,0.0329082681441387,0.741905,0.587130652979999,0.0146742870354917,"5","low"
17,"concrete",3.8,3.8,0.188617380127917,0.716746044486085,0.012412614565117,6,0.0498249226093067,0.6978425,0.587712459202456,0.00738136561439235,"10","low"
18,"concrete",3.8,3.8,0.184173760962756,0.699860291658474,0.0195132417467603,6,0.0624711801501465,0.6925875,0.604905841527422,0.0114650784995132,"15","low"
