"","run","slope","surface","rainfall","replicate","gauge_avg_mm_min"
"1","1",15,"sand","med",1,"0.94780219780219788"
"2","2",15,"sand","med",2,"1.0148514851485149"
"3","3",15,"sand","med",3,"0.94640883977900547"
"4","4",15,"sand","med",4,"0.95349477160154095"
"5","5",10,"sand","med",1,"0.94680264608599773"
"6","6",10,"sand","med",2,"0.94318808604522897"
"7","7",10,"sand","med",3,"0.92047330764997248"
"8","8",10,"sand","med",4,"0.94537815126050428"
"9","9",5,"sand","med",1,"0.97214561500275787"
"10","10",5,"sand","med",2,"0.98760330578512401"
"11","11",5,"sand","med",3,"0.96587782058337912"
"12","12",5,"sand","med",4,"0.96440397350993379"
"13","13",5,"sand","low",1,"0.65702479338842978"
"14","14",5,"sand","low",2,"0.61638168781025926"
"15","15",5,"sand","low",3,"0.62879205736348598"
"16","16",5,"sand","low",4,"0.62259483232545354"
"17","17",10,"sand","low",1,"0.61190738699007718"
"18","18",10,"sand","low",2,"0.59471365638766527"
"19","19",10,"sand","low",3,"0.63223140495867769"
"20","20",10,"sand","low",4,"0.63979086406163999"
"21","21",15,"sand","low",1,"0.63327814569536423"
"22","22",15,"sand","low",2,"0.63636363636363635"
"23","23",15,"sand","low",3,"0.63636363636363635"
"24","24",15,"sand","low",4,"0.62948647156267257"
"25","25",15,"sand","high",1,"1.3440265486725664"
"26","26",15,"sand","high",2,"1.294452347083926"
"27","27",15,"sand","high",3,"1.355721393034826"
"28","28",15,"sand","high",4,"1.316225165562914"
"29","29",10,"sand","high",1,"1.3689159292035398"
"30","30",10,"sand","high",2,"1.353071389042612"
"31","31",10,"sand","high",3,"1.3496677740863787"
"32","32",10,"sand","high",4,"1.353071389042612"
"33","33",5,"sand","high",1,"1.3281682346430548"
"34","34",5,"sand","high",2,"1.3738240177089098"
"35","35",5,"sand","high",3,"1.3572219147758715"
"36","36",5,"sand","high",4,"1.3538205980066444"
"37","37",5,"concrete","high",1,"1.3262195121951219"
"38","38",5,"concrete","high",2,"1.3335173937051352"
"39","39",5,"concrete","high",3,"1.3322368421052633"
"40","40",5,"concrete","high",4,"1.3281682346430548"
"41","41",10,"concrete","high",1,"1.3342541436464088"
"42","42",10,"concrete","high",2,"1.3489208633093526"
"43","43",10,"concrete","high",3,"1.4194798007747649"
"44","44",10,"concrete","high",4,"1.3157166574432761"
"45","45",15,"concrete","high",1,"1.285240464344942"
"46","46",15,"concrete","high",2,"1.3225538971807629"
"47","47",15,"concrete","high",3,"1.3323187603763142"
"48","48",15,"concrete","high",4,"1.3406198118428334"
"49","49",15,"concrete","med",1,"0.99612617598229103"
"50","50",15,"concrete","med",2,"0.99197565024903156"
"51","51",15,"concrete","med",3,"0.99197565024903156"
"52","52",15,"concrete","med",4,"0.9836745987825124"
"53","53",10,"concrete","med",1,"0.99612617598229103"
"54","54",10,"concrete","med",2,"0.99667774086378735"
"55","55",10,"concrete","med",3,"1.0334809075816269"
"56","56",10,"concrete","med",4,"0.98782512451577198"
"57","57",5,"concrete","med",1,"0.98782512451577198"
"58","58",5,"concrete","med",2,"0.99972345132743368"
"59","59",5,"concrete","med",3,"1.0044272274488102"
"60","60",5,"concrete","med",4,"1.0002767017155507"
"61","61",5,"concrete","low",1,"0.59925864909390447"
"62","62",5,"concrete","low",2,"0.63327814569536423"
"63","63",5,"concrete","low",3,"0.63432835820895528"
"64","64",5,"concrete","low",4,"0.62740781507980181"
"65","65",10,"concrete","low",1,"0.62980241492864986"
"66","66",10,"concrete","low",2,"0.63087991145545097"
"67","67",10,"concrete","low",3,"0.62638274336283184"
"68","68",10,"concrete","low",4,"0.63812154696132595"
"69","69",15,"concrete","low",1,"0.64748201438848918"
"70","70",15,"concrete","low",2,"0.63053097345132747"
"71","71",15,"concrete","low",3,"0.63087991145545097"
"72","72",15,"concrete","low",4,"0.63918096292197013"
